tag,gt_x,gt_y,gt_z,min_x,min_y,min_z,topk_x,topk_y,topk_z,err_hard,err_raw,err_topk,cos_gt,margin,at_boundary,gt_outside_grid,e_min,e_max
t_az135_el20_px_p1,0.0539,-0.0001,-0.0079,0.0,0.04,0.0,0.0111,0.0361,-0.005,0.0676,0.0676,0.0561,-0.002,2.948,0,0,0.4023,0.4437
t_az135_el20_px_p2,0.0535,-0.0001,-0.0071,0.0,0.04,0.0,0.0067,0.0428,-0.0044,0.0673,0.0673,0.0636,-0.002,2.789,0,0,0.4044,0.4481
t_az135_el20_py_p0,-0.0004,0.0554,-0.0067,-0.02,-0.02,-0.02,-0.0183,-0.0083,-0.0117,0.079,0.079,0.0664,-0.5,2.499,0,0,0.3856,0.4242
t_az135_el20_py_p1,-0.0003,0.0554,-0.007,-0.02,-0.02,-0.02,-0.0117,-0.0183,-0.0078,0.079,0.079,0.0746,-0.497,2.626,0,0,0.3897,0.4323
t_az135_el20_py_p2,0.0004,0.0554,-0.0068,-0.02,0.0,-0.02,-0.0139,-0.0167,-0.0156,0.0605,0.0605,0.074,0.08,2.635,0,0,0.3817,0.4202
t_az135_el20_pz_p0,0.0006,-0.0001,0.0488,0.0,0.0,0.02,0.0028,0.0056,0.0278,0.0288,0.0288,0.0219,1.0,2.713,0,0,0.3748,0.4243
t_az135_el20_pz_p1,0.0013,-0.0002,0.0479,0.0,0.02,0.04,0.0072,0.0111,0.0333,0.0218,0.0218,0.0194,0.892,2.528,0,0,0.3821,0.4185
t_az135_el20_pz_p2,0.0001,-0.0001,0.0482,0.0,0.02,0.02,0.0039,0.0078,0.0244,0.0347,0.0347,0.0254,0.706,2.764,0,0,0.3824,0.4291
t_az135_el45_nx_p0,-0.0556,-0.0,-0.0053,0.0,-0.04,0.0,0.005,-0.0406,0.0044,0.0687,0.0687,0.0736,0.001,3.193,0,0,0.408,0.4518
t_az135_el45_nx_p1,-0.0555,0.0,-0.0043,0.0,-0.04,0.0,0.0072,-0.05,-0.0056,0.0685,0.0685,0.0802,-0.0,2.887,0,0,0.4087,0.4496
t_az135_el45_nx_p2,-0.0557,-0.0,-0.0046,0.0,-0.04,0.0,0.005,-0.04,0.0028,0.0687,0.0687,0.0731,0.0,2.597,0,0,0.413,0.4494
